risk_rank,layer,head,count,mean,max,sum
231,29,5,2.0,0.0321567058563232,0.0354310274124145,0.0643134117126464
232,16,20,2.0,0.03191438317298885,0.0330026745796203,0.0638287663459777
233,4,19,1.0,0.0612941980361938,0.0612941980361938,0.0612941980361938
234,15,6,1.0,0.0610811710357666,0.0610811710357666,0.0610811710357666
235,47,14,6.0,0.010061422983805282,0.0116339921951293,0.0603685379028317
236,1,20,2.0,0.02946519851684565,0.0317113399505615,0.0589303970336913
237,33,18,2.0,0.028487652540206847,0.0329142212867736,0.05697530508041369
238,27,14,2.0,0.028396844863891553,0.0388007164001464,0.056793689727783106
239,23,10,1.0,0.0544527769088745,0.0544527769088745,0.0544527769088745
240,5,2,1.0,0.0484910011291503,0.0484910011291503,0.0484910011291503
241,31,3,1.0,0.0466514229774475,0.0466514229774475,0.0466514229774475
242,33,14,2.0,0.02283352613449095,0.024544358253479,0.0456670522689819
243,56,9,3.0,0.014233609040578167,0.0164321660995483,0.0427008271217345
244,47,0,4.0,0.010348230600356976,0.0139628648757934,0.0413929224014279
245,27,15,1.0,0.0410516262054443,0.0410516262054443,0.0410516262054443
246,19,7,1.0,0.0408868789672851,0.0408868789672851,0.0408868789672851
247,51,0,1.0,0.0401617288589477,0.0401617288589477,0.0401617288589477
248,45,16,1.0,0.0363734364509582,0.0363734364509582,0.0363734364509582
249,47,21,2.0,0.01716148853302,0.0180448293685913,0.03432297706604
250,8,20,1.0,0.0325366854667663,0.0325366854667663,0.0325366854667663
251,3,8,2.0,0.01513013243675225,0.0197895169258117,0.0302602648735045
252,57,9,7.0,0.004134425095149414,0.0052502751350402,0.0289409756660459
253,47,19,2.0,0.0144662857055664,0.0157698392868042,0.0289325714111328
254,7,20,1.0,0.0278639793395996,0.0278639793395996,0.0278639793395996
255,28,17,1.0,0.0259501934051513,0.0259501934051513,0.0259501934051513
256,55,16,2.0,0.0128751099109649,0.0142648220062255,0.0257502198219298
257,6,1,2.0,0.0112316012382507,0.017208993434906,0.0224632024765014
258,47,4,2.0,0.01101630926132195,0.0111501216888427,0.0220326185226439
259,36,16,1.0,0.0218950510025024,0.0218950510025024,0.0218950510025024
260,56,5,2.0,0.01061135530471795,0.0111072063446044,0.0212227106094359
261,6,2,1.0,0.0202181339263916,0.0202181339263916,0.0202181339263916
262,56,8,1.0,0.0192465782165527,0.0192465782165527,0.0192465782165527
263,42,14,1.0,0.0181523561477661,0.0181523561477661,0.0181523561477661
264,32,19,1.0,0.0163305401802063,0.0163305401802063,0.0163305401802063
265,44,22,1.0,0.0158228874206542,0.0158228874206542,0.0158228874206542
266,6,19,1.0,0.0152525305747985,0.0152525305747985,0.0152525305747985
267,6,14,1.0,0.0139983296394348,0.0139983296394348,0.0139983296394348
268,36,6,1.0,0.0128130912780761,0.0128130912780761,0.0128130912780761
269,38,3,1.0,0.0078372955322265,0.0078372955322265,0.0078372955322265
270,59,13,2.0,0.0029194205999374,0.0029321014881134,0.0058388411998748
271,0,0,0.0,0.0,0.0,0.0
272,0,1,0.0,0.0,0.0,0.0
273,0,2,0.0,0.0,0.0,0.0
274,0,3,0.0,0.0,0.0,0.0
275,0,4,0.0,0.0,0.0,0.0
276,0,5,0.0,0.0,0.0,0.0
277,0,6,0.0,0.0,0.0,0.0
278,0,7,0.0,0.0,0.0,0.0
279,0,8,0.0,0.0,0.0,0.0
280,0,9,0.0,0.0,0.0,0.0
281,0,10,0.0,0.0,0.0,0.0
282,0,11,0.0,0.0,0.0,0.0
283,0,12,0.0,0.0,0.0,0.0
284,0,13,0.0,0.0,0.0,0.0
